;Casapound;PdF;NcI-UDC;Lega;FI;FdI;+E;PD;Insieme;CP;LeU;PVU;PaP;M5S;FN-FT;PRI-ALA;10VM;PCLtSCR;GN;IR-DC;INC;Ren-MIR;LdP;PpA;SiAmo;PC;AD;SVP-PATT;PD-UV-UVP-EPAV;PT;FI-FdI-MNVA;RC;@abs;@blank
Precenicco;12;2;16;255;123;54;22;122;1;2;32;10;9;188;7;;2;2;;1;;1;0;5;2;;;;;;;;264;9
Premariacco;57;16;27;794;316;105;54;315;2;3;42;13;13;573;18;;7;4;;1;;1;1;20;7;;;;;;;;644;32
Remanzacco;71;17;36;915;398;173;100;557;10;9;81;10;16;937;24;;10;8;;4;;3;1;18;13;;;;;;;;1160;40
Rivignano Teor;29;25;41;1143;362;207;74;522;8;5;53;18;11;814;26;;16;7;;1;;2;2;23;13;;;;;;;;1247;42
Ronchis;17;4;18;362;125;74;16;173;3;1;25;5;6;254;12;;1;1;;2;;1;1;5;2;;;;;;;;381;20
San Giorgio di Nogaro;43;57;132;998;369;168;82;742;13;16;159;26;28;1185;29;;6;20;;5;;6;3;51;5;;;;;;;;1493;36
San Giovanni al Natisone;33;12;43;1064;347;129;77;483;9;10;53;23;21;800;28;;5;4;;3;;2;1;8;16;;;;;;;;1116;26
Santa Maria la Longa;41;27;17;373;133;58;32;229;6;10;23;4;2;291;11;;2;2;;4;;1;0;20;0;;;;;;;;442;14
San Vito al Torre;20;3;24;201;83;34;12;107;3;4;27;4;4;165;15;;2;1;;1;;0;0;7;0;;;;;;;;216;12
Talmassons;42;7;17;853;287;107;38;320;7;8;54;15;11;573;36;;10;3;;2;;2;3;25;5;;;;;;;;649;20
Tavagnacco;92;50;97;2118;864;454;359;1657;30;42;303;49;63;2094;74;;45;19;;4;;5;3;44;23;;;;;;;;2632;89
Torviscosa;19;5;17;363;141;54;46;364;6;2;53;5;11;469;18;;4;3;;1;;1;2;10;2;;;;;;;;566;33
Trivignano Udinese;23;2;10;251;77;33;22;150;4;3;15;1;6;243;8;;3;2;;0;;0;0;9;3;;;;;;;;294;14
Udine;551;445;685;10235;5593;2851;2805;11423;348;298;2036;205;468;10683;349;;198;120;;29;;205;54;353;102;;;;;;;;18756;542
Varmo;29;5;18;541;169;92;31;204;3;4;40;26;5;283;11;;2;3;;0;;3;1;15;3;;;;;;;;537;28
Visco;10;4;4;94;58;24;14;55;3;2;17;2;5;143;3;;1;1;;1;;0;0;4;0;;;;;;;;125;3
Cordovado;24;10;12;443;209;98;27;255;2;10;30;9;12;332;12;;5;4;;1;;0;1;14;4;;;;;;;;487;21
Morsano al Tagliamento;30;4;18;525;169;106;23;208;2;2;24;7;8;324;14;;6;4;;4;;0;2;13;4;;;;;;;;576;18
Amaro;4;1;9;140;32;31;14;68;7;3;6;2;7;118;6;;0;2;;0;;1;0;0;0;;;;;;;;158;7
Ampezzo;5;0;4;147;47;14;17;123;4;3;15;2;3;106;6;;1;0;;0;;0;2;2;0;;;;;;;;274;12
Arta Terme;8;3;37;416;91;82;19;161;9;1;29;3;16;245;11;;3;4;;1;;0;2;11;1;;;;;;;;455;25
Artegna;25;11;30;520;162;85;60;264;7;5;55;2;9;343;15;;2;4;;3;;0;1;10;3;;;;;;;;564;25
Basiliano;65;18;28;871;322;137;65;471;11;16;64;3;9;746;22;;5;7;;3;;0;3;90;5;;;;;;;;843;34
Bertiolo;30;7;8;580;160;86;20;222;3;6;20;11;6;274;10;;6;1;;1;;0;0;63;6;;;;;;;;358;15
Bordano;7;2;2;135;25;10;6;53;2;0;3;5;2;97;6;;1;4;;0;;0;0;16;1;;;;;;;;188;9
Buja;44;27;47;1343;371;239;82;506;8;11;88;22;16;729;20;;9;7;;1;;2;8;42;12;;;;;;;;1273;51
Camino al Tagliamento;9;5;11;354;152;62;17;126;2;2;18;4;3;183;10;;3;2;;0;;0;2;8;3;;;;;;;;261;17
Cassacco;20;14;22;540;182;77;51;276;7;8;25;20;4;403;11;;3;3;;1;;1;1;7;5;;;;;;;;544;19
Cavazzo Carnico;5;1;8;148;45;23;17;110;9;1;19;0;7;142;5;;2;0;;0;;0;0;1;0;;;;;;;;244;7
Cercivento;2;7;9;167;29;8;1;62;2;4;2;7;4;72;4;;1;0;;1;;0;0;0;0;;;;;;;;147;2
Chiusaforte;10;3;5;120;27;13;7;50;5;0;7;1;0;58;3;;0;1;;1;;1;0;4;1;;;;;;;;205;5
Codroipo;94;35;63;2598;1028;500;272;1577;36;32;214;30;38;1845;76;;21;17;;11;;5;10;116;39;;;;;;;;3207;94
Colloredo di Monte Albano;16;1;24;455;142;44;30;171;8;2;28;12;1;273;11;;4;2;;1;;0;2;4;5;;;;;;;;383;16
Comeglians;2;0;6;94;27;35;10;55;2;0;8;1;2;34;0;;0;0;;0;;2;0;1;0;;;;;;;;113;4
Coseano;14;12;12;431;136;59;22;180;1;0;20;7;3;260;12;;5;0;;0;;1;1;17;4;;;;;;;;367;23
Dignano;25;5;9;474;160;79;26;154;2;7;23;6;1;292;9;;1;1;;1;;1;0;26;0;;;;;;;;455;14
Dogna;1;0;2;34;3;3;1;17;1;0;0;0;0;19;0;;0;1;;0;;0;0;1;0;;;;;;;;63;0
Enemonzo;8;4;14;244;48;33;15;132;10;3;29;6;6;160;4;;1;2;;0;;1;0;1;1;;;;;;;;310;6
Fagagna;39;15;41;1111;340;192;115;698;10;13;103;16;18;731;27;;14;7;;0;;1;4;38;10;;;;;;;;1128;49
Flaibano;6;13;3;193;74;25;8;92;2;1;11;4;2;148;4;;0;0;;0;;0;0;16;0;;;;;;;;220;3
Forgaria nel Friuli;21;5;15;365;131;61;10;132;1;0;14;4;2;187;6;;1;3;;4;;0;1;3;4;;;;;;;;424;9
Forni Avoltri;4;0;7;81;25;13;3;68;1;4;5;2;0;41;4;;1;1;;0;;0;0;14;0;;;;;;;;146;9
Forni di Sopra;10;3;2;266;40;32;9;79;6;1;6;0;2;66;8;;0;4;;1;;0;0;2;1;;;;;;;;210;14
Forni di Sotto;4;2;8;117;30;10;4;45;8;1;6;1;5;67;4;;1;1;;1;;0;1;0;1;;;;;;;;133;12
Gemona del Friuli;62;33;333;1995;499;291;268;880;42;16;185;24;53;1232;46;;12;23;;1;;6;20;56;10;;;;;;;;2065;77
Lauco;4;0;4;126;31;17;5;70;1;3;16;3;1;110;3;;1;0;;1;;1;2;1;0;;;;;;;;173;10
Lestizza;52;17;24;723;205;121;44;432;4;6;52;11;9;508;27;;6;4;;0;;1;5;49;9;;;;;;;;592;25
Magnano in Riviera;32;7;24;475;143;95;43;182;9;2;33;3;5;255;13;;0;5;;2;;0;5;10;1;;;;;;;;418;12
Majano;56;19;35;1125;386;176;65;526;5;13;76;22;23;633;31;;12;10;;1;;1;4;15;4;;;;;;;;1192;54
Malborghetto Valbruna;2;1;3;219;51;24;15;75;3;0;9;1;0;77;3;;0;0;;0;;0;0;5;0;;;;;;;;190;5
Martignacco;52;19;37;1016;298;212;118;762;20;10;138;15;26;966;34;;16;3;;8;;3;4;33;7;;;;;;;;1359;39
Mereto di Tomba;23;10;10;436;133;82;23;187;3;3;37;3;6;322;9;;2;1;;1;;0;2;231;2;;;;;;;;428;12
Moggio Udinese;18;11;16;205;71;51;35;167;7;7;22;2;9;212;9;;0;3;;4;;0;0;1;0;;;;;;;;497;17
Montenars;4;0;2;111;37;18;10;29;3;1;7;0;2;73;5;;1;2;;0;;0;0;3;1;;;;;;;;119;3
Moruzzo;4;8;16;417;156;69;78;273;4;10;36;6;17;323;9;;1;3;;0;;2;2;10;5;;;;;;;;402;13
Osoppo;16;5;17;493;135;74;35;201;6;4;32;17;5;357;11;;3;2;;1;;5;7;12;3;;;;;;;;682;18
Ovaro;13;2;15;333;59;45;14;190;4;4;14;4;3;202;7;;0;2;;2;;1;1;7;1;;;;;;;;519;18
Pagnacco;38;14;31;802;275;181;125;641;19;13;140;14;16;683;20;;17;8;;0;;0;4;20;9;;;;;;;;814;20
Paluzza;20;6;16;384;75;84;9;202;8;2;50;8;10;214;6;;1;3;;2;;2;3;4;1;;;;;;;;573;22
Pasian di Prato;75;96;68;1302;576;259;195;1124;18;28;167;21;36;1245;39;;18;8;;0;;6;3;56;16;;;;;;;;1515;73
Paularo;14;1;30;569;133;72;15;172;7;5;14;10;4;266;17;;2;3;;1;;1;0;1;1;;;;;;;;709;18
Pontebba;11;1;16;261;65;28;13;140;4;1;16;2;5;134;4;;2;6;;1;;0;0;1;1;;;;;;;;355;6
Povoletto;45;21;60;890;383;189;81;577;13;12;64;18;12;680;16;;6;4;;4;;1;4;71;3;;;;;;;;1009;39
Prato Carnico;7;1;10;100;28;13;7;119;3;1;19;6;10;129;1;;0;1;;0;;0;0;6;3;;;;;;;;227;12
Preone;0;0;0;42;10;10;5;35;5;0;4;0;0;24;0;;0;1;;0;;0;0;1;0;;;;;;;;53;3
Ragogna;29;3;11;558;192;82;31;250;3;6;49;11;6;314;12;;5;1;;0;;1;3;13;1;;;;;;;;636;19
Ravascletto;6;0;6;88;25;9;12;53;2;0;12;2;4;49;1;;0;2;;0;;0;0;4;1;;;;;;;;145;5
Raveo;0;1;3;60;17;9;4;68;3;2;11;4;1;65;1;;0;2;;1;;0;0;1;0;;;;;;;;97;4
Reana del Rojale;34;14;30;857;264;175;73;507;9;4;85;11;15;686;31;;10;4;;2;;1;1;16;5;;;;;;;;886;26
Resiutta;2;1;2;39;18;10;6;28;0;0;3;0;0;50;2;;0;0;;0;;0;0;0;1;;;;;;;;74;2
Rigolato;1;0;3;50;15;7;7;48;4;0;6;1;1;65;4;;0;2;;1;;0;0;1;0;;;;;;;;149;3
Rive d'Arcano;21;9;17;498;139;71;32;200;4;3;32;9;10;275;15;;3;2;;2;;0;5;26;3;;;;;;;;508;13
San Daniele del Friuli;59;22;228;1180;540;254;126;688;13;13;108;29;29;954;42;;26;3;;6;;3;7;64;4;;;;;;;;1590;50
San Vito di Fagagna;12;14;8;314;96;49;22;149;4;8;19;6;3;189;7;;1;1;;2;;1;0;8;0;;;;;;;;308;11
Sappada;3;8;6;298;72;66;20;95;2;22;9;6;4;87;7;;1;4;;0;;0;0;1;0;;;;;;;;275;19
Sauris;1;0;3;31;23;2;8;50;2;0;3;1;0;43;2;;2;0;;0;;0;0;0;2;;;;;;;;126;4
Sedegliano;14;7;19;778;226;134;39;286;6;16;34;12;6;432;20;;5;7;;2;;1;2;62;4;;;;;;;;594;30
Socchieve;3;0;13;133;39;24;7;81;4;3;12;5;0;115;6;;1;2;;0;;0;0;2;0;;;;;;;;251;10
Sutrio;5;6;14;296;47;30;8;88;5;18;28;14;7;130;5;;2;3;;0;;1;0;2;1;;;;;;;;263;12
Tarcento;92;40;64;1478;509;305;142;719;17;13;129;15;32;1078;40;;15;10;;2;;2;8;64;6;;;;;;;;2006;45
Tarvisio;57;11;18;809;313;163;59;282;4;7;37;6;6;507;26;;10;1;;0;;1;2;1;2;;;;;;;;965;28
Tolmezzo;70;15;214;1588;491;252;150;977;136;29;130;26;45;1370;28;;15;9;;1;;4;4;24;16;;;;;;;;2265;80
Trasaghis;12;3;14;439;95;49;25;215;5;3;30;7;5;217;8;;0;2;;1;;2;2;9;4;;;;;;;;555;18
Treppo Grande;15;1;7;302;102;62;14;151;0;4;31;2;17;236;6;;1;4;;1;;2;1;3;1;;;;;;;;339;14
Treppo Ligosullo;5;4;4;142;28;22;10;70;0;1;15;2;1;66;8;;0;1;;0;;0;2;0;0;;;;;;;;178;0
Tricesimo;71;17;194;1096;518;249;152;674;131;23;96;17;25;964;31;;8;3;;3;;0;3;42;17;;;;;;;;1467;46
Venzone;34;1;8;359;76;47;26;230;4;3;39;6;7;261;7;;3;1;;1;;0;0;3;4;;;;;;;;463;16
Verzegnis;11;0;44;136;35;16;15;83;4;1;10;6;2;111;2;;2;3;;0;;0;0;3;0;;;;;;;;185;5
Villa Santina;20;5;19;419;72;62;27;181;12;0;30;8;5;339;9;;1;4;;0;;0;1;16;2;;;;;;;;469;28
Zuglio;3;1;15;113;17;10;5;46;1;0;3;3;1;91;2;;2;1;;0;;0;1;0;0;;;;;;;;148;5
Arba;36;1;1;264;67;25;16;86;0;1;13;6;2;141;6;;3;0;;0;;1;1;3;1;;;;;;;;206;5
Castelnovo del Friuli;12;3;1;108;38;25;12;67;5;1;18;6;3;114;4;;0;2;;0;;0;1;4;0;;;;;;;;219;5
Cavasso Nuovo;12;3;4;295;71;45;6;71;4;3;26;6;3;210;4;;2;4;;0;;0;2;7;0;;;;;;;;319;19
Clauzetto;6;1;1;66;16;10;6;50;1;0;3;6;1;44;1;;0;1;;0;;2;0;4;1;;;;;;;;108;1
Fanna;27;0;3;241;118;60;15;128;1;5;12;7;5;202;7;;3;1;;3;;1;0;8;0;;;;;;;;296;9
Frisanco;5;1;0;82;26;21;9;73;1;2;14;1;4;92;1;;0;0;;0;;0;0;5;0;;;;;;;;141;3
Meduno;10;3;9;309;77;38;11;163;3;3;22;2;5;168;6;;1;2;;2;;3;0;18;1;;;;;;;;343;9
Pinzano al Tagliamento;6;4;5;261;78;37;16;123;0;4;24;3;10;181;6;;1;1;;0;;0;0;22;0;;;;;;;;328;9
Sequals;24;5;7;351;124;74;30;181;2;4;32;2;5;257;9;;2;1;;3;;10;1;22;2;;;;;;;;403;19
Tramonti di Sopra;1;0;3;49;35;12;2;29;2;0;3;0;2;23;0;;0;0;;0;;0;0;7;0;;;;;;;;78;2
Tramonti di Sotto;0;0;0;52;29;11;6;35;0;1;9;0;1;35;2;;0;0;;0;;0;0;22;0;;;;;;;;102;3
Travesio;12;6;4;319;95;45;23;138;3;4;18;8;5;201;3;;3;1;;1;;3;1;9;0;;;;;;;;400;18
Vito d'Asio;2;0;3;118;65;14;7;86;0;2;11;2;0;91;6;;0;1;;0;;1;0;5;0;;;;;;;;192;5
Andreis;1;0;1;51;8;5;4;28;0;0;1;1;1;29;1;;1;0;;0;;0;0;0;0;;;;;;;;65;0
Aviano;61;36;34;1376;554;296;169;823;20;10;113;18;35;1003;22;;9;3;;3;;0;6;44;2;;;;;;;;1720;51
Azzano Decimo;118;54;44;2637;952;516;185;1338;13;28;151;31;22;2092;71;;15;13;;7;;7;11;43;9;;;;;;;;2527;101
Barcis;1;1;3;42;21;7;6;28;2;0;5;0;1;30;0;;0;1;;0;;0;0;1;0;;;;;;;;52;5
Brugnera;48;58;42;2130;771;260;62;620;12;14;47;15;13;1019;39;;17;7;;1;;2;5;9;1;;;;;;;;1220;57
Budoia;14;5;3;381;170;66;58;256;1;3;44;5;11;340;9;;6;2;;1;;0;3;7;5;;;;;;;;448;15
Caneva;42;16;10;1214;390;146;82;661;7;9;85;11;17;892;30;;12;10;;3;;1;1;18;1;;;;;;;;1141;42
Casarsa Della Delizia;52;30;32;1119;476;257;118;810;11;20;135;10;22;1027;37;;10;4;;3;;4;1;260;4;;;;;;;;1398;50
Chions;36;4;23;883;345;134;64;519;5;13;67;13;11;580;29;;7;2;;5;;2;2;21;2;;;;;;;;859;43
Cimolais;4;0;6;85;15;13;0;18;0;0;1;0;2;37;1;;0;0;;2;;0;0;11;1;;;;;;;;109;2
Claut;6;0;11;225;68;22;10;57;0;1;8;0;1;90;5;;0;2;;3;;2;0;12;0;;;;;;;;240;9
Cordenons;146;120;78;3135;1135;647;328;1904;34;19;243;11;67;2475;72;;17;21;;10;;12;13;49;7;;;;;;;;2922;103
Erto e Casso;11;0;5;70;21;8;7;26;0;0;4;0;1;42;5;;0;0;;0;;0;0;0;0;;;;;;;;106;2
Fiume Veneto;74;71;43;1874;704;489;160;1099;22;27;148;7;33;1594;45;;19;12;;8;;7;12;41;15;;;;;;;;1902;67
Fontanafredda;78;39;35;2268;805;415;147;1083;15;20;106;31;13;1575;50;;9;15;;6;;8;7;22;8;;;;;;;;2041;66
Maniago;138;31;55;1776;649;332;155;1061;22;20;121;13;44;1447;49;;14;13;;2;;6;5;84;7;;;;;;;;2279;64
Montereale Valcellina;34;6;16;706;198;126;70;534;6;16;84;1;45;510;20;;5;7;;0;;3;6;10;3;;;;;;;;834;35
Pasiano di Pordenone;38;34;32;1386;654;284;65;623;2;15;62;5;12;690;44;;7;3;;6;;6;2;9;2;;;;;;;;1102;38
Polcenigo;12;12;18;554;193;99;56;273;4;3;41;5;11;457;16;;11;8;;2;;0;2;7;2;;;;;;;;564;27
Porcia;83;61;49;2486;936;550;254;1643;37;23;197;28;48;1959;51;;23;22;;6;;6;10;28;16;;;;;;;;2510;81
Pordenone;278;180;204;5588;3180;1958;1343;5835;86;87;913;98;218;5897;201;;75;55;;24;;16;34;119;44;;;;;;;;8971;303
Prata di Pordenone;38;34;26;1677;606;236;64;556;1;10;60;6;15;918;37;;9;7;;1;;2;2;5;7;;;;;;;;1106;47
Pravisdomini;20;12;9;616;240;91;25;208;3;9;11;5;4;352;23;;3;1;;3;;0;3;3;1;;;;;;;;508;18
Roveredo in Piano;28;33;26;944;420;255;104;595;8;9;77;6;19;757;24;;7;6;;2;;2;1;18;6;;;;;;;;873;38
Sacile;142;105;56;3252;1271;525;292;1888;29;46;241;18;55;2575;83;;51;20;;13;;8;7;19;10;;;;;;;;3392;108
San Giorgio Della Richinvelda;26;12;9;787;230;113;52;354;4;9;35;15;6;331;17;;10;1;;1;;2;2;281;1;;;;;;;;732;15
San Martino al Tagliamento;3;13;2;216;86;30;12;147;2;1;12;1;6;123;3;;0;0;;0;;0;0;106;1;;;;;;;;233;6
San Quirino;37;25;18;844;299;187;63;333;6;2;34;6;10;549;27;;4;2;;0;;3;2;19;2;;;;;;;;694;18
San Vito al Tagliamento;92;43;51;1887;840;423;314;1817;23;40;223;21;71;1853;47;;16;22;;5;;8;10;196;9;;;;;;;;2591;103
Sesto al Reghena;44;20;29;1139;379;165;69;588;7;10;69;19;16;883;37;;10;7;;0;;3;4;47;4;;;;;;;;1051;44
Spilimbergo;95;39;46;1802;728;391;227;1079;20;19;136;28;45;1451;46;;26;23;;4;;7;5;267;15;;;;;;;;2149;61
Vajont;11;0;7;222;113;35;4;85;1;0;13;1;6;242;11;;0;2;;1;;0;1;1;2;;;;;;;;281;13
Valvasone Arzene;15;4;6;415;133;70;30;276;3;2;58;3;6;346;7;;3;3;;1;;0;1;687;6;;;;;;;;632;21
Vivaro;14;3;4;208;172;33;21;100;1;2;7;2;4;140;15;;0;2;;0;;1;1;23;3;;;;;;;;220;10
Zoppola;53;29;26;1410;474;251;112;835;14;15;106;8;10;1092;36;;17;6;;6;;5;1;176;4;;;;;;;;1495;36
Airole;2;0;0;38;26;6;2;33;4;0;7;0;2;35;;0;1;0;;;;;;;;2;;;;;;;71;2
Apricale;3;3;0;38;23;4;6;38;1;2;5;5;14;74;;0;1;1;;;;;;;;3;;;;;;;198;7
Aquila d'Arroscia;0;1;1;59;18;2;0;5;0;0;0;0;0;22;;0;0;0;;;;;;;;0;;;;;;;37;1
Armo;0;0;1;18;5;2;4;12;1;0;0;0;0;12;;0;0;0;;;;;;;;2;;;;;;;30;1
Aurigo;6;3;0;46;66;8;3;23;2;1;4;0;2;45;;0;0;0;;;;;;;;1;;;;;;;46;2
Badalucco;6;6;3;104;91;17;20;100;3;0;14;28;7;199;;1;0;0;;;;;;;;5;;;;;;;248;5
Bajardo;1;2;1;40;23;4;0;19;1;0;3;0;6;45;;0;0;1;;;;;;;;1;;;;;;;82;1
Bordighera;40;31;23;1205;957;421;185;832;25;17;113;19;39;1331;;4;16;2;;;;;;;;17;;;;;;;2607;47
Borghetto d'Arroscia;3;4;1;64;49;8;1;40;3;0;2;1;1;47;;0;0;0;;;;;;;;2;;;;;;;104;8
Borgomaro;12;2;3;125;64;15;6;47;2;4;9;6;9;113;;0;0;0;;;;;;;;5;;;;;;;233;8
Camporosso;30;22;42;810;492;111;109;223;10;15;23;4;22;843;;2;3;3;;;;;;;;6;;;;;;;1300;26
Caravonica;3;5;2;34;19;1;2;24;0;0;0;0;0;30;;0;0;0;;;;;;;;0;;;;;;;54;1
Castellaro;8;0;5;146;115;35;12;90;1;0;9;5;15;255;;0;5;3;;;;;;;;5;;;;;;;282;4
Castel Vittorio;0;0;4;48;26;2;3;21;0;0;6;0;0;33;;0;0;0;;;;;;;;1;;;;;;;86;3
Ceriana;8;4;4;145;80;32;8;49;0;1;6;3;9;198;;0;0;5;;;;;;;;2;;;;;;;331;4
Cervo;7;3;3;128;114;25;21;108;6;2;23;0;9;155;;1;4;1;;;;;;;;3;;;;;;;263;8
Cesio;5;0;2;51;27;5;0;9;21;0;3;0;1;37;;0;0;0;;;;;;;;1;;;;;;;49;0
Chiusanico;1;5;1;88;46;6;10;64;0;1;21;0;7;74;;0;0;1;;;;;;;;2;;;;;;;109;4
Chiusavecchia;4;5;3;61;32;12;4;44;0;0;5;0;3;59;;0;2;1;;;;;;;;1;;;;;;;91;1
Cipressa;8;3;5;160;119;33;21;116;1;3;19;1;14;192;;0;0;1;;;;;;;;1;;;;;;;248;5
Civezza;1;0;0;99;44;15;8;38;2;1;14;0;3;117;;0;0;1;;;;;;;;0;;;;;;;91;3
Cosio d'Arroscia;1;1;0;27;14;5;0;17;0;0;2;0;0;38;;0;0;0;;;;;;;;1;;;;;;;58;3
Costarainera;1;2;2;98;95;14;9;61;2;0;8;0;16;163;;0;0;1;;;;;;;;2;;;;;;;148;5
Diano Arentino;3;0;0;81;68;20;7;42;1;1;4;0;6;114;;0;0;0;;;;;;;;0;;;;;;;164;7
Diano Castello;23;6;5;278;225;59;28;167;4;0;15;1;8;319;;0;1;0;;;;;;;;4;;;;;;;522;9
Diano Marina;45;17;28;730;640;146;82;514;9;6;77;6;36;743;;5;1;5;;;;;;;;8;;;;;;;1282;29
Diano san Pietro;11;4;2;183;82;24;6;82;4;2;15;0;18;161;;1;0;1;;;;;;;;7;;;;;;;234;12
Dolceacqua;17;2;8;207;202;54;28;137;10;4;20;6;20;344;;1;1;0;;;;;;;;12;;;;;;;455;18
Dolcedo;18;9;3;132;100;27;18;115;0;0;33;2;19;196;;1;3;0;;;;;;;;3;;;;;;;292;11
Imperia;330;333;111;4194;3113;880;664;3588;135;65;926;50;509;6301;;15;32;24;;;;;;;;76;;;;;;;9242;166
Isolabona;7;0;0;114;31;13;3;49;2;1;4;1;6;102;;1;0;1;;;;;;;;2;;;;;;;149;5
Lucinasco;1;0;2;39;14;0;3;16;2;0;3;0;5;34;;0;1;0;;;;;;;;0;;;;;;;52;1
Mendatica;1;1;1;16;19;5;1;17;2;0;6;0;0;42;;0;0;1;;;;;;;;0;;;;;;;54;3
Molini di Triora;3;1;2;66;48;26;7;32;1;2;5;5;5;72;;0;1;1;;;;;;;;3;;;;;;;138;3
Montalto Carpasio;1;1;1;61;39;13;9;39;3;0;2;7;9;67;;2;0;1;;;;;;;;3;;;;;;;134;4
Montegrosso Pian Latte;1;3;0;25;4;3;1;16;0;0;2;1;0;27;;0;0;1;;;;;;;;0;;;;;;;20;0
Olivetta san Michele;5;0;0;37;20;5;1;14;1;0;1;1;0;26;;0;0;0;;;;;;;;0;;;;;;;56;1
Ospedaletti;30;6;5;416;340;120;42;247;9;4;26;12;9;452;;3;4;0;;;;;;;;7;;;;;;;737;21
Perinaldo;1;1;1;80;61;15;10;49;0;0;10;2;4;105;;0;1;1;;;;;;;;0;;;;;;;252;1
Pietrabruna;0;2;2;73;29;5;16;32;3;2;6;1;1;65;;0;1;0;;;;;;;;0;;;;;;;107;2
Pieve di Teco;8;2;2;192;66;25;6;99;2;1;16;1;7;200;;0;3;3;;;;;;;;4;;;;;;;304;11
Pigna;3;0;0;92;60;18;5;58;1;0;11;0;10;118;;1;1;2;;;;;;;;1;;;;;;;214;7
Pompeiana;4;0;2;116;72;11;14;37;0;1;12;7;7;179;;0;1;0;;;;;;;;2;;;;;;;182;9
Pontedassio;25;8;1;322;157;45;28;171;6;1;34;2;15;387;;0;3;0;;;;;;;;7;;;;;;;460;12
Pornassio;11;2;1;68;62;14;10;52;0;1;1;1;6;60;;0;0;0;;;;;;;;0;;;;;;;206;2
Prela';2;0;1;65;35;10;3;24;1;1;7;0;6;64;;1;3;1;;;;;;;;2;;;;;;;112;5
Ranzo;5;1;1;70;37;16;4;52;1;3;5;1;1;96;;1;0;0;;;;;;;;1;;;;;;;104;2
Rezzo;3;0;0;63;18;5;2;29;2;1;2;1;1;51;;0;0;0;;;;;;;;5;;;;;;;85;5
Riva Ligure;26;4;10;360;238;65;25;204;2;5;22;4;48;524;;0;10;0;;;;;;;;5;;;;;;;695;22
Rocchetta Nervina;3;0;0;36;15;9;1;13;0;1;0;0;7;45;;1;0;0;;;;;;;;1;;;;;;;62;1
San Bartolomeo al Mare;16;10;16;346;291;62;29;263;4;2;38;1;22;458;;2;4;4;;;;;;;;3;;;;;;;720;14
San Biagio Della Cima;6;4;3;222;87;34;14;77;0;1;10;2;9;170;;0;3;0;;;;;;;;4;;;;;;;321;9
San Lorenzo al Mare;8;8;2;136;115;41;21;115;8;2;15;0;14;207;;0;1;1;;;;;;;;3;;;;;;;258;3
Sanremo;318;200;164;6195;4769;1713;739;3903;162;67;652;99;376;8030;;27;77;22;;;;;;;;111;;;;;;;13615;257
Santo Stefano al Mare;5;5;7;280;182;60;28;168;1;6;37;1;10;403;;2;13;4;;;;;;;;2;;;;;;;474;20
Seborga;1;1;3;48;32;15;2;21;2;1;2;0;0;27;;0;0;0;;;;;;;;2;;;;;;;64;1
Soldano;4;2;2;109;92;18;14;59;1;0;8;0;3;189;;1;2;1;;;;;;;;1;;;;;;;208;3
Taggia;73;60;37;1591;1186;332;152;952;33;18;131;32;62;2686;;5;21;9;;;;;;;;31;;;;;;;3131;73
Terzorio;2;1;1;31;26;4;4;20;0;0;3;0;2;52;;0;0;0;;;;;;;;0;;;;;;;31;1
Triora;4;0;1;52;25;26;4;27;1;0;5;3;3;29;;0;0;0;;;;;;;;1;;;;;;;75;5
Vallebona;6;0;1;143;91;33;26;116;0;2;13;2;12;175;;0;1;1;;;;;;;;3;;;;;;;339;10
Vallecrosia;33;22;22;822;630;193;87;538;11;10;76;11;29;1084;;3;4;3;;;;;;;;16;;;;;;;1801;31
Vasia;3;0;0;54;25;3;5;32;11;0;15;0;4;51;;0;1;0;;;;;;;;0;;;;;;;94;2
Ventimiglia;138;69;59;3343;2183;450;269;1268;49;25;222;20;118;3000;;10;12;14;;;;;;;;21;;;;;;;6618;97
Vessalico;0;0;1;44;14;4;0;9;1;0;2;0;0;36;;0;0;0;;;;;;;;0;;;;;;;67;3
Villa Faraldi;2;1;1;52;28;10;4;38;0;0;4;0;5;68;;0;0;0;;;;;;;;0;;;;;;;119;2
Alassio;50;64;30;1363;1141;287;179;872;40;11;100;18;41;1471;;8;10;9;;;;;;;;15;;;;;;;2574;57
Albenga;143;85;43;3465;2095;464;267;1998;37;29;285;21;85;3703;;9;18;21;;;;;;;;28;;;;;;;4803;119
Andora;30;23;20;1112;777;197;99;579;11;12;83;9;34;1135;;7;6;5;;;;;;;;17;;;;;;;1581;38
Arnasco;2;1;3;90;33;5;7;79;1;1;4;1;2;77;;1;0;0;;;;;;;;1;;;;;;;143;5
Casanova Lerrone;1;4;0;110;54;12;6;59;0;3;3;0;5;91;;0;0;0;;;;;;;;3;;;;;;;183;6
Castelbianco;0;0;3;51;14;3;8;22;1;0;3;2;2;41;;0;0;0;;;;;;;;1;;;;;;;68;3
Castelvecchio di Rocca Barbena;0;1;0;32;7;0;3;10;0;0;4;0;0;13;;0;0;0;;;;;;;;0;;;;;;;35;1
Ceriale;47;13;20;825;572;145;53;369;14;5;49;3;24;813;;3;6;8;;;;;;;;7;;;;;;;1135;24
Cisano sul Neva;13;13;4;327;169;56;19;193;0;0;17;3;8;355;;1;6;0;;;;;;;;4;;;;;;;323;18
