RegioNaam;@invalid;@blank;PvdA;KVP;VVD;ARP;D66;CHU;Democratisch Socialisten '70;Communistische Partij van Nederland;SGP;Politieke Partij Radikalen (PPR);Gereformeerd Politiek Verbond (GPV);Nederlandse Middenstands Partij;Pacifistisch-Socialistische Partij (PSP);Boeren Partij;Algemene Bejaarden Partij Nederland;Nederlands Appel;Nieuwe Roomse Partij;Kabouters;Bejaarden en Arbeidspartij;Binding Rechts;Democraten 2000;Bejaardenpartij 65+;Lijst van Velzen;Bejaarden Partij Algemeen Belang;Stichting Gedupeerde Groepen 18+ t/m 65;Landelijke Partij van Bejaarden;Partij van het Recht;Positief Sociaal Democraten;@abs
Oostzaan-G0431;10;;986;71.0;319;188;170;121.0;142;514.0;27.0;25.0;16.0;72.0;44.0;22.0;13.0;7.0;;11.0;2.0;1.0;4.0;;1.0;;;;;;599
Ootmarsum-G0176;2;;121;1265.0;106;29;53;45.0;67;5.0;1.0;24.0;11.0;61.0;8.0;20.0;12.0;2.0;6.0;1.0;1.0;2.0;;;;;;;;;161
Ophemert-G0270;5;;297;25.0;80;54;12;118.0;20;4.0;25.0;1.0;13.0;11.0;3.0;56.0;1.0;6.0;2.0;3.0;1.0;6.0;1.0;;;;;;;;174
Oploo, Sint Anthonis en Ledeacker-G0827;24;;135;2493.0;80;47;101;11.0;60;11.0;3.0;26.0;1.0;19.0;21.0;46.0;5.0;1.0;4.0;11.0;7.0;4.0;6.0;;;;;;;;517
Opmeer-G0432;10;;259;1174.0;99;14;51;16.0;54;14.0;1.0;13.0;1.0;28.0;15.0;17.0;9.0;2.0;29.0;2.0;2.0;;31.0;;;;;;;;324
Opperdoes-G0433;8;;66;4.0;32;333;15;93.0;21;12.0;69.0;3.0;20.0;17.0;7.0;13.0;1.0;;;;1.0;1.0;2.0;;;;;;;;95
Opsterland-G0086;115;;4088;116.0;1045;2024;595;661.0;336;819.0;84.0;99.0;547.0;230.0;335.0;224.0;55.0;13.0;6.0;14.0;48.0;46.0;29.0;;10.0;;;;;;2297
Oss-G0828;155;;3445;7607.0;1208;434;1337;136.0;817;236.0;20.0;375.0;41.0;303.0;199.0;424.0;98.0;70.0;72.0;89.0;120.0;18.0;15.0;;14.0;;;;;;6229
Ossendrecht-G0829;20;;359;973.0;123;37;112;17.0;82;17.0;;62.0;3.0;31.0;13.0;33.0;13.0;7.0;9.0;3.0;17.0;1.0;;;;;;;;;864
Ottersum-G0955;47;;166;1132.0;64;18;125;8.0;55;12.0;2.0;31.0;1.0;66.0;15.0;52.0;5.0;1.0;7.0;6.0;8.0;5.0;5.0;;1.0;;;;;;645
Ottoland-G0582;1;;35;3.0;34;161;3;41.0;3;;78.0;5.0;6.0;;;9.0;;2.0;;2.0;;;;;;;;;;;47
Oud- en Nieuw-Gastel-G0831;57;;425;2087.0;154;44;140;37.0;107;41.0;;145.0;2.0;37.0;23.0;101.0;32.0;5.0;15.0;13.0;58.0;4.0;5.0;;2.0;;;;;;1201
Oud-Alblas-G0583;5;;125;11.0;45;181;27;122.0;18;2.0;221.0;3.0;27.0;9.0;;15.0;;7.0;;3.0;3.0;;;;;;;;;;143
Oud-Beijerland-G0584;27;;1530;200.0;630;1032;347;368.0;159;38.0;839.0;46.0;183.0;84.0;35.0;14.0;;10.0;;6.0;5.0;4.0;;6.0;1.0;;;;;;982
Oude Pekela-G0038;49;;1535;208.0;256;309;81;184.0;98;1415.0;3.0;65.0;48.0;56.0;28.0;22.0;5.0;2.0;1.0;12.0;18.0;6.0;1.0;;;;;;;;819
Oudenbosch-G0830;43;;586;2098.0;201;50;160;43.0;123;37.0;4.0;189.0;6.0;55.0;29.0;77.0;18.0;11.0;16.0;17.0;176.0;3.0;6.0;;;;;;;;1325
Oudendijk-G0435;2;;83;24.0;58;5;18;8.0;14;15.0;;;;8.0;1.0;3.0;;;1.0;2.0;;;1.0;;;;;;;;57
Oudenhoorn-G0586;8;;249;7.0;88;37;43;49.0;28;12.0;13.0;2.0;3.0;8.0;5.0;16.0;;2.0;;4.0;1.0;3.0;;;;;;;;;169
Ouder-Amstel-G0437;23;;622;1082.0;548;344;367;399.0;328;73.0;34.0;125.0;44.0;67.0;64.0;32.0;8.0;16.0;20.0;15.0;6.0;6.0;1.0;;2.0;3.0;1.0;2.0;;;909
Ouderkerk aan den IJssel-G0587;4;;504;4.0;265;372;44;80.0;37;7.0;672.0;8.0;47.0;16.0;6.0;15.0;3.0;3.0;;;3.0;1.0;;;;;;;;;490
Oudewater-G0589;26;;316;995.0;203;293;103;262.0;109;10.0;110.0;43.0;22.0;53.0;10.0;13.0;10.0;5.0;13.0;2.0;2.0;1.0;1.0;;;;1.0;1.0;;;563
Oudorp-G0438;13;;608;759.0;189;106;194;52.0;188;116.0;7.0;71.0;17.0;49.0;37.0;30.0;11.0;3.0;8.0;19.0;1.0;;5.0;;;;;;;;531
Oud-Vossemeer-G0696;5;;230;283.0;149;115;18;147.0;10;11.0;135.0;2.0;9.0;13.0;3.0;7.0;;;1.0;2.0;1.0;;;;;;;;;;208
Overasselt-G0271;3;;78;1115.0;50;23;38;10.0;35;4.0;1.0;16.0;6.0;32.0;16.0;29.0;8.0;9.0;7.0;4.0;1.0;;;;;;;;;;268
Pannerden-G0272;9;;101;630.0;11;7;53;6.0;20;12.0;1.0;4.0;1.0;13.0;4.0;29.0;2.0;1.0;4.0;7.0;8.0;1.0;2.0;;;;;;;;203
Papendrecht-G0590;32;;2547;453.0;831;1339;936;540.0;379;171.0;670.0;73.0;118.0;57.0;71.0;37.0;17.0;24.0;5.0;27.0;15.0;5.0;5.0;14.0;1.0;;2.0;;;;2198
Peize-G0124;26;;802;18.0;312;45;103;40.0;78;139.0;4.0;6.0;9.0;25.0;30.0;56.0;7.0;2.0;2.0;1.0;10.0;71.0;3.0;;1.0;;;;;;517
Piershil-G0591;3;;202;5.0;57;50;33;71.0;12;4.0;109.0;4.0;5.0;11.0;;4.0;3.0;1.0;;1.0;1.0;;;2.0;;;;;;;108
Pijnacker-G0594;24;;980;1767.0;891;739;533;1062.0;358;39.0;295.0;132.0;143.0;113.0;55.0;59.0;11.0;16.0;14.0;17.0;2.0;12.0;2.0;;2.0;;1.0;;;;1223
Polsbroek-G0338;3;;43;100.0;45;100;8;91.0;11;1.0;98.0;;2.0;13.0;1.0;20.0;;1.0;;;;14.0;;;1.0;;1.0;;;;80
Poortugal-G0592;38;;3111;434.0;458;666;1020;433.0;280;269.0;180.0;92.0;76.0;72.0;84.0;28.0;21.0;17.0;3.0;34.0;12.0;6.0;8.0;28.0;3.0;;3.0;;;;2613
Poortvliet-G0700;7;;126;7.0;58;93;7;198.0;16;3.0;338.0;;17.0;4.0;3.0;27.0;4.0;1.0;;1.0;3.0;;;;;;;;;;146
Posterholt-G0956;57;;199;960.0;49;22;95;4.0;57;21.0;2.0;35.0;2.0;31.0;12.0;44.0;1.0;3.0;4.0;6.0;6.0;2.0;3.0;;2.0;;3.0;;;;472
Prinsenbeek-G0832;31;;481;2125.0;408;83;258;37.0;151;31.0;4.0;199.0;6.0;78.0;23.0;103.0;11.0;16.0;13.0;10.0;30.0;1.0;6.0;;1.0;;;;;;872
Purmerend-G0439;48;;3618;1587.0;1411;600;1674;314.0;1105;1184.0;33.0;414.0;57.0;169.0;329.0;59.0;37.0;28.0;25.0;38.0;16.0;11.0;15.0;;3.0;;;;;;2716
Putte-G0833;29;;192;405.0;73;10;62;10.0;75;15.0;2.0;14.0;1.0;19.0;13.0;30.0;11.0;13.0;12.0;5.0;15.0;2.0;6.0;;;;;;;;510
Putten-G0273;36;;1035;197.0;612;880;211;1864.0;308;73.0;1367.0;43.0;187.0;105.0;38.0;140.0;30.0;23.0;5.0;11.0;18.0;478.0;9.0;;3.0;;;;;;1576
Puttershoek-G0593;9;;857;71.0;225;264;115;289.0;77;13.0;180.0;15.0;29.0;20.0;11.0;8.0;1.0;2.0;;;1.0;;2.0;;;;;;;;370
Raalte-G0177;39;;804;6207.0;335;179;217;816.0;165;25.0;7.0;79.0;40.0;94.0;30.0;221.0;15.0;12.0;25.0;16.0;11.0;31.0;6.0;;1.0;;;;;;1450
Raamsdonk-G0834;39;;512;1935.0;188;210;214;361.0;103;59.0;66.0;283.0;19.0;68.0;31.0;90.0;18.0;13.0;23.0;10.0;30.0;7.0;6.0;;2.0;;;;;;1314
Rauwerderhem-G0087;6;;518;145.0;159;160;64;81.0;37;14.0;3.0;13.0;10.0;24.0;27.0;14.0;5.0;3.0;3.0;5.0;6.0;2.0;8.0;;;;;;;;212
Ravenstein-G0835;19;;393;2071.0;109;55;154;24.0;76;31.0;1.0;41.0;4.0;49.0;20.0;71.0;14.0;5.0;6.0;12.0;17.0;4.0;;;4.0;;;;;;824
Reeuwijk-G0595;21;;688;685.0;638;449;241;224.0;160;32.0;205.0;48.0;29.0;40.0;34.0;19.0;10.0;15.0;39.0;11.0;2.0;10.0;2.0;;1.0;;3.0;;;;753
Reimerswaal-G0703;43;;2018;538.0;774;889;247;1311.0;239;55.0;2132.0;40.0;202.0;154.0;36.0;147.0;38.0;26.0;6.0;20.0;18.0;20.0;8.0;;1.0;;;;;;2269
Renkum-G0274;115;;4072;2665.0;2953;1960;995;1642.0;1007;170.0;277.0;318.0;288.0;533.0;228.0;150.0;65.0;99.0;51.0;38.0;39.0;26.0;12.0;;9.0;;;;;;3980
Renswoude-G0339;7;;123;27.0;126;166;90;314.0;60;5.0;130.0;13.0;41.0;25.0;8.0;51.0;3.0;2.0;2.0;2.0;3.0;16.0;3.0;;3.0;;;;;;312
Reusel-G0836;13;;175;1716.0;82;17;128;5.0;64;10.0;1.0;84.0;1.0;30.0;13.0;63.0;8.0;6.0;22.0;5.0;9.0;2.0;10.0;;3.0;;;;;;679
Rheden-G0275;138;;8867;3460.0;3673;2339;1515;2355.0;1473;317.0;118.0;403.0;390.0;519.0;267.0;161.0;65.0;120.0;84.0;51.0;43.0;44.0;15.0;;11.0;;;;;;5009
Rhenen-G0340;60;;2485;334.0;869;619;357;1152.0;418;42.0;1094.0;67.0;131.0;132.0;57.0;96.0;13.0;22.0;5.0;9.0;12.0;19.0;4.0;;6.0;;5.0;2.0;;;1392
Rhoon-G0596;13;;487;316.0;492;394;178;537.0;114;18.0;66.0;32.0;30.0;40.0;12.0;10.0;3.0;7.0;3.0;9.0;2.0;4.0;1.0;3.0;2.0;;2.0;;;;578
Ridderkerk-G0597;82;;6678;876.0;1804;3074;2212;1759.0;719;340.0;2365.0;211.0;401.0;247.0;146.0;74.0;29.0;42.0;12.0;37.0;24.0;26.0;17.0;23.0;6.0;;7.0;;;;4616
Riethoven-G0837;5;;44;537.0;109;11;61;8.0;39;2.0;;9.0;1.0;16.0;7.0;16.0;3.0;;1.0;4.0;;3.0;;;;;;;;;149
Rijnsaterwoude-G0601;4;;77;132.0;50;63;53;70.0;23;11.0;57.0;8.0;5.0;13.0;3.0;11.0;3.0;1.0;2.0;2.0;;4.0;1.0;;;;;;;;94
Rijnsburg-G0602;15;;391;119.0;142;1797;72;990.0;147;8.0;200.0;28.0;332.0;51.0;13.0;28.0;2.0;6.0;2.0;4.0;4.0;5.0;;;2.0;;;;;;700
Rijsbergen-G0841;32;;153;1149.0;106;36;73;15.0;54;7.0;2.0;52.0;7.0;31.0;21.0;106.0;15.0;8.0;9.0;4.0;8.0;;5.0;;;;;;;;681
Rijssen-G0178;33;;1357;684.0;211;937;132;861.0;192;38.0;3883.0;37.0;127.0;81.0;18.0;93.0;6.0;13.0;1.0;2.0;4.0;23.0;2.0;;;;;;;;1263
Rijswijk-G0603;97;;5353;4612.0;5561;2153;2451;1237.0;2379;335.0;292.0;456.0;316.0;348.0;451.0;111.0;50.0;193.0;129.0;95.0;27.0;39.0;11.0;29.0;26.0;;3.0;;;;5637
Rijswijk (NB)-G0842;2;;125;7.0;14;266;12;123.0;14;5.0;37.0;3.0;3.0;9.0;3.0;7.0;;1.0;1.0;1.0;2.0;;;;;;;;;;88
Rockanje-G0598;18;;751;45.0;499;392;150;110.0;104;104.0;24.0;12.0;11.0;56.0;16.0;54.0;6.0;12.0;;5.0;7.0;4.0;2.0;5.0;2.0;;;;;;736
Roden-G0125;46;;2269;110.0;1092;1017;483;400.0;317;246.0;19.0;48.0;164.0;86.0;74.0;168.0;22.0;9.0;5.0;20.0;35.0;28.0;17.0;;;;;;;;1238
Roermond-G0957;308;;2044;6935.0;1310;324;1007;125.0;835;184.0;18.0;287.0;37.0;300.0;173.0;224.0;95.0;74.0;125.0;53.0;81.0;26.0;30.0;;18.0;;15.0;;;;7197
Roggel-G0958;30;;99;1053.0;42;16;68;2.0;35;8.0;1.0;15.0;2.0;10.0;12.0;34.0;6.0;;28.0;7.0;7.0;1.0;5.0;;;;4.0;;;;511
Rolde-G0126;19;;1083;67.0;857;135;129;102.0;119;20.0;4.0;34.0;29.0;75.0;18.0;48.0;11.0;4.0;1.0;5.0;11.0;5.0;15.0;;1.0;;;;;;537
Roosendaal en Nispen-G0838;285;;3113;9881.0;1515;471;1332;232.0;935;245.0;26.0;504.0;36.0;259.0;204.0;415.0;173.0;73.0;91.0;77.0;371.0;42.0;39.0;;15.0;;;;;;8294
Roosteren-G0959;6;;55;417.0;26;12;15;1.0;23;4.0;1.0;2.0;;3.0;;3.0;7.0;;3.0;1.0;4.0;2.0;;;;;;;;;175
Rosmalen-G0839;70;;870;3756.0;599;165;504;62.0;347;43.0;9.0;150.0;18.0;252.0;103.0;98.0;30.0;32.0;49.0;37.0;31.0;8.0;6.0;;3.0;;;;;;2910
Rossum-G0276;9;;386;391.0;93;58;39;217.0;29;14.0;13.0;22.0;12.0;13.0;8.0;28.0;7.0;8.0;2.0;1.0;2.0;;1.0;;;;;;;;322
Rotterdam-G0599;2565;;140941;29382.0;28740;24253;33576;14601.0;13072;18638.0;6901.0;4227.0;4010.0;3584.0;4879.0;1486.0;1397.0;846.0;517.0;1425.0;1186.0;250.0;327.0;2403.0;201.0;;286.0;;229.0;400.0;113925
Rozenburg-G0600;17;;1427;228.0;389;692;664;578.0;251;128.0;70.0;55.0;139.0;31.0;48.0;30.0;15.0;4.0;1.0;20.0;3.0;9.0;6.0;9.0;;;2.0;;;;1399
Rozendaal-G0277;2;;100;51.0;289;62;55;90.0;59;6.0;3.0;13.0;13.0;2.0;11.0;4.0;4.0;3.0;1.0;7.0;1.0;;;;;;;;;;61
Rucphen-G0840;135;;1036;3408.0;227;86;306;33.0;182;79.0;14.0;158.0;10.0;117.0;53.0;587.0;68.0;11.0;30.0;23.0;110.0;21.0;16.0;;3.0;;;;;;3616
Ruinen-G0127;21;;1066;37.0;815;337;89;178.0;121;33.0;11.0;12.0;30.0;60.0;14.0;72.0;10.0;5.0;2.0;5.0;16.0;6.0;3.0;;;;;;;;802
Ruinerwold-G0128;15;;479;6.0;449;322;44;116.0;66;3.0;6.0;;55.0;58.0;3.0;32.0;7.0;6.0;;4.0;7.0;8.0;5.0;;1.0;;;;;;225
Ruurlo-G0278;30;;970;879.0;756;180;119;135.0;81;18.0;5.0;18.0;15.0;130.0;16.0;102.0;8.0;7.0;6.0;3.0;17.0;11.0;3.0;;;;3.0;;;;623
Sas van Gent-G0704;45;;877;1413.0;334;81;186;59.0;131;56.0;18.0;316.0;18.0;171.0;30.0;61.0;24.0;13.0;14.0;22.0;11.0;1.0;2.0;;2.0;;;;;;1406
Sassenheim-G0604;20;;582;1941.0;788;971;335;521.0;301;38.0;69.0;97.0;65.0;94.0;50.0;30.0;30.0;21.0;33.0;14.0;17.0;8.0;6.0;;4.0;;1.0;;;;1258
Schaesberg-G0960;136;;1324;2667.0;395;103;845;72.0;235;356.0;6.0;258.0;19.0;50.0;136.0;113.0;42.0;24.0;130.0;34.0;38.0;25.0;21.0;;1.0;;17.0;;;;2623
Schagen-G0441;26;;1007;798.0;749;165;304;86.0;166;70.0;2.0;44.0;21.0;86.0;61.0;42.0;7.0;6.0;7.0;11.0;6.0;5.0;4.0;;4.0;;;;;;864
Schaijk-G0843;24;;212;1737.0;87;42;121;10.0;50;7.0;;32.0;;50.0;15.0;77.0;8.0;6.0;6.0;10.0;9.0;7.0;2.0;;2.0;;;;;;680
Scheemda-G0039;44;;1497;27.0;324;569;86;491.0;80;779.0;13.0;20.0;85.0;74.0;20.0;19.0;14.0;6.0;3.0;7.0;11.0;6.0;2.0;;;;;;;;588
Schelluinen-G0605;1;;165;7.0;84;55;37;25.0;17;9.0;48.0;;9.0;;8.0;5.0;;15.0;;1.0;;;;1.0;;;;;;;133
Schermer-G0458;15;;513;390.0;229;161;176;47.0;127;49.0;18.0;14.0;7.0;28.0;34.0;41.0;5.0;4.0;4.0;12.0;12.0;3.0;3.0;;1.0;;;;;;339
Scherpenisse-G0705;7;;191;2.0;64;29;6;86.0;3;3.0;259.0;1.0;13.0;8.0;;18.0;2.0;;;;1.0;;;;;;;;;;157
Scherpenzeel-G0279;10;;742;86.0;319;328;146;672.0;175;10.0;418.0;27.0;100.0;36.0;14.0;45.0;6.0;10.0;;5.0;4.0;22.0;3.0;;3.0;;;;;;474
Schiedam-G0606;251;;15710;6761.0;3167;2866;3771;2163.0;1567;2353.0;568.0;654.0;449.0;529.0;527.0;157.0;112.0;86.0;131.0;133.0;115.0;20.0;30.0;155.0;24.0;;12.0;;;;11539
Schiermonnikoog-G0088;3;;119;3.0;59;138;29;42.0;27;11.0;;7.0;17.0;23.0;3.0;3.0;;2.0;;;;;1.0;;1.0;;;;;;53
Schijndel-G0844;75;;937;4131.0;295;80;362;25.0;169;41.0;6.0;243.0;13.0;94.0;57.0;187.0;45.0;9.0;25.0;29.0;36.0;4.0;14.0;;9.0;;;;;;2200
Schimmert-G0961;27;;109;870.0;52;15;92;3.0;65;8.0;1.0;25.0;1.0;12.0;7.0;20.0;5.0;3.0;6.0;8.0;8.0;1.0;1.0;;;;2.0;;;;349
Schinnen-G0962;38;;301;1474.0;98;36;197;14.0;83;46.0;1.0;66.0;2.0;10.0;29.0;46.0;10.0;2.0;68.0;40.0;15.0;6.0;7.0;;3.0;;2.0;;;;803
Schinveld-G0963;62;;189;823.0;48;12;85;8.0;60;48.0;2.0;675.0;1.0;12.0;11.0;36.0;6.0;6.0;79.0;5.0;4.0;4.0;5.0;;2.0;;;;;;630
Schipluiden-G0607;9;;224;1555.0;255;441;125;384.0;106;18.0;56.0;45.0;41.0;53.0;21.0;15.0;2.0;3.0;10.0;7.0;3.0;1.0;3.0;2.0;;;;;;;527
Schoonebeek-G0129;14;;726;1039.0;140;453;70;589.0;79;78.0;4.0;60.0;24.0;26.0;8.0;50.0;4.0;2.0;7.0;5.0;13.0;8.0;3.0;;;;;;;;740
Schoonhoven-G0608;25;;1081;530.0;433;653;247;334.0;191;54.0;299.0;81.0;86.0;51.0;44.0;24.0;11.0;18.0;16.0;12.0;5.0;3.0;1.0;;;;3.0;;;;891
Schoonrewoerd-G0609;11;;104;9.0;36;144;11;79.0;8;2.0;175.0;2.0;15.0;6.0;5.0;32.0;2.0;7.0;;1.0;;;;;1.0;;;;;;96
Schoorl-G0444;14;;627;736.0;429;76;241;58.0;194;78.0;;44.0;7.0;55.0;50.0;30.0;17.0;9.0;8.0;12.0;11.0;5.0;7.0;;2.0;;;;;;534
Sevenum-G0964;19;;134;1935.0;54;32;77;5.0;73;10.0;;43.0;2.0;17.0;19.0;56.0;8.0;;31.0;4.0;9.0;5.0;1.0;;;;;;;;676
's-Graveland-G0390;18;;629;760.0;515;335;289;409.0;208;97.0;101.0;68.0;94.0;72.0;49.0;36.0;18.0;21.0;19.0;14.0;6.0;7.0;3.0;;;5.0;;3.0;;;1030
's-Gravendeel-G0517;15;;1195;31.0;280;628;115;501.0;78;14.0;274.0;5.0;69.0;39.0;7.0;22.0;2.0;8.0;;3.0;3.0;3.0;1.0;5.0;;;;;;;614
's-Gravenhage-G0518;1591;;80562;34470.0;43906;19537;21395;13131.0;25152;9115.0;3112.0;3402.0;3222.0;4283.0;4687.0;1229.0;1188.0;2861.0;933.0;1648.0;965.0;289.0;240.0;507.0;270.0;;144.0;200.0;;;89589
's-Gravenmoer-G0787;5;;68;50.0;22;357;28;170.0;29;1.0;21.0;7.0;42.0;9.0;5.0;20.0;1.0;2.0;;1.0;1.0;;1.0;;;;;;;;139
's-Gravenzande-G0519;38;;1296;545.0;911;1244;340;1153.0;313;26.0;370.0;38.0;138.0;102.0;17.0;25.0;11.0;19.0;;4.0;9.0;50.0;1.0;2.0;;;;;;;1332
's-Hertogenbosch-G0796;220;;6216;14647.0;2813;841;2460;426.0;1408;643.0;42.0;841.0;201.0;597.0;625.0;351.0;239.0;234.0;309.0;165.0;174.0;29.0;39.0;;27.0;;;;;;16142
Sijbekarspel-G0447;6;;167;299.0;71;24;60;5.0;41;8.0;;7.0;;13.0;10.0;13.0;2.0;;16.0;2.0;1.0;1.0;;;;;;;;;139
Simpelveld-G0965;52;;275;1725.0;137;40;173;20.0;100;70.0;2.0;34.0;;18.0;20.0;47.0;25.0;9.0;33.0;21.0;14.0;6.0;12.0;;3.0;;1.0;;;;873
Sint Annaland-G0708;10;;344;11.0;131;120;16;108.0;22;3.0;575.0;2.0;12.0;42.0;4.0;25.0;8.0;3.0;;;2.0;1.0;3.0;;;;;;;;427
Sint Geertruid-G0966;9;;52;454.0;14;3;17;1.0;11;4.0;;9.0;1.0;6.0;6.0;9.0;4.0;2.0;3.0;;;1.0;;;;;;;;;115
Sint Maarten-G0445;8;;177;170.0;120;123;43;;24;24.0;;6.0;9.0;6.0;16.0;13.0;6.0;;1.0;3.0;2.0;;1.0;;;;;;;;127
Sint Maartensdijk-G0711;4;;694;16.0;152;34;21;118.0;26;14.0;439.0;2.0;18.0;25.0;4.0;18.0;5.0;4.0;;3.0;2.0;;2.0;;1.0;;;;;;326
Sint Odiliënberg-G0967;25;;137;812.0;53;37;73;6.0;69;7.0;1.0;15.0;1.0;17.0;8.0;23.0;10.0;5.0;9.0;6.0;3.0;2.0;;;;;;;;;380
Sint Pancras-G0446;9;;259;73.0;118;197;76;155.0;83;24.0;21.0;23.0;33.0;39.0;14.0;26.0;9.0;7.0;1.0;4.0;2.0;2.0;2.0;;;;;;;;268
Sint Philipsland-G0712;9;;150;2.0;57;120;13;115.0;28;7.0;637.0;2.0;33.0;13.0;1.0;5.0;5.0;2.0;2.0;3.0;2.0;2.0;1.0;;1.0;;;;;;154
Sint-Michielsgestel-G0845;32;;568;2500.0;360;106;283;46.0;192;45.0;9.0;111.0;26.0;72.0;58.0;109.0;26.0;7.0;35.0;30.0;22.0;5.0;1.0;;1.0;;;;;;1398
Sint-Oedenrode-G0846;44;;635;3754.0;225;94;337;34.0;143;67.0;3.0;336.0;10.0;70.0;49.0;104.0;41.0;9.0;27.0;14.0;23.0;8.0;9.0;;4.0;;;;;;1195
Sittard-G0968;257;;2232;6836.0;753;264;1256;137.0;634;286.0;18.0;271.0;15.0;139.0;209.0;131.0;66.0;42.0;143.0;145.0;83.0;24.0;31.0;;6.0;;14.0;;;;5770
Sleen-G0130;47;;1780;45.0;658;503;107;332.0;77;286.0;8.0;13.0;36.0;68.0;12.0;44.0;8.0;2.0;2.0;6.0;13.0;7.0;10.0;;4.0;;;;;;737
Slenaken-G0969;4;;36;154.0;13;8;18;;19;5.0;;3.0;;7.0;3.0;7.0;;;;2.0;;4.0;;;;;;;;;145
Sliedrecht-G0610;52;;3871;157.0;832;1108;766;905.0;299;206.0;1941.0;36.0;196.0;55.0;64.0;59.0;14.0;33.0;1.0;9.0;8.0;8.0;2.0;20.0;4.0;;2.0;;;;2265
Slochteren-G0040;83;;2212;85.0;1039;850;169;482.0;188;455.0;14.0;31.0;705.0;87.0;101.0;107.0;37.0;5.0;2.0;9.0;41.0;26.0;6.0;;1.0;;;;;;1702
Sloten (F)-G0089;1;;56;38.0;16;73;10;116.0;6;5.0;7.0;3.0;18.0;16.0;2.0;7.0;6.0;2.0;;;2.0;;;;;;;;;;59
Sluis-G0713;15;;404;438.0;298;42;73;100.0;52;8.0;2.0;36.0;20.0;73.0;7.0;21.0;8.0;1.0;4.0;4.0;4.0;1.0;3.0;;3.0;;;;;;462
Smallingerland-G0090;80;;6556;413.0;1157;5221;885;1214.0;635;903.0;170.0;250.0;1091.0;324.0;275.0;115.0;35.0;20.0;7.0;28.0;29.0;15.0;15.0;;7.0;;;;;;3175
Smilde-G0131;36;;1174;13.0;266;1017;110;694.0;94;50.0;5.0;22.0;125.0;73.0;19.0;58.0;13.0;5.0;2.0;5.0;14.0;4.0;14.0;;;;;;;;542
Sneek-G0091;128;;3831;1166.0;909;2428;788;1693.0;626;554.0;63.0;268.0;244.0;418.0;151.0;60.0;40.0;26.0;14.0;26.0;38.0;17.0;19.0;;2.0;;;;;;2880
Snelrewaard-G0341;0;;5;172.0;22;30;5;39.0;2;2.0;30.0;1.0;3.0;1.0;2.0;2.0;;1.0;1.0;3.0;2.0;;;;;;;;;;76
Soest-G0342;189;;2595;3483.0;3707;1850;1246;933.0;1562;248.0;282.0;304.0;266.0;227.0;267.0;160.0;99.0;123.0;54.0;46.0;42.0;94.0;19.0;;14.0;;6.0;11.0;;;5210
Someren-G0847;61;;410;4114.0;220;78;194;66.0;127;29.0;4.0;106.0;4.0;75.0;35.0;145.0;9.0;5.0;44.0;16.0;17.0;3.0;5.0;;;;;;;;1844
Son en Breugel-G0848;17;;475;2406.0;1055;176;441;55.0;373;22.0;3.0;134.0;27.0;54.0;72.0;64.0;17.0;14.0;23.0;16.0;16.0;1.0;3.0;;1.0;;;;;;1097
Spaubeek-G0970;28;;161;777.0;77;12;92;5.0;68;18.0;;21.0;1.0;16.0;11.0;20.0;5.0;6.0;11.0;11.0;4.0;2.0;3.0;;;;;;;;532
Spijkenisse-G0612;51;;4566;592.0;1068;1148;1780;642.0;544;359.0;208.0;210.0;99.0;84.0;123.0;44.0;6.0;13.0;15.0;60.0;17.0;8.0;10.0;8.0;25.0;;;;;;2875
Sprang-Capelle-G0849;27;;486;147.0;197;696;87;875.0;133;23.0;502.0;22.0;38.0;39.0;14.0;118.0;14.0;6.0;4.0;3.0;13.0;6.0;3.0;;2.0;;;;;;828
Stad Delden-G0179;18;;471;1477.0;466;144;141;105.0;202;22.0;;31.0;6.0;85.0;13.0;30.0;16.0;8.0;17.0;9.0;5.0;1.0;1.0;;2.0;;;;;;428
Stadskanaal-G0037;122;;4354;1420.0;883;2697;556;2228.0;403;1691.0;95.0;175.0;790.0;229.0;118.0;159.0;41.0;14.0;23.0;26.0;43.0;25.0;21.0;;2.0;;;;;;4075
Standdaarbuiten-G0850;9;;78;756.0;47;13;35;12.0;25;5.0;;32.0;2.0;18.0;5.0;6.0;6.0;;7.0;3.0;88.0;;1.0;;1.0;;;;;;213
Staphorst-G0180;22;;587;14.0;406;852;64;578.0;103;18.0;1767.0;5.0;473.0;66.0;19.0;356.0;4.0;4.0;;4.0;6.0;5.0;2.0;;1.0;;;;;;614
Stavenisse-G0714;4;;203;3.0;54;28;2;54.0;9;3.0;335.0;2.0;8.0;12.0;;9.0;3.0;2.0;1.0;2.0;1.0;;;;;;;;;;246
Stavoren-G0092;5;;80;2.0;22;85;24;164.0;17;3.0;12.0;6.0;3.0;21.0;3.0;1.0;4.0;;1.0;1.0;3.0;;1.0;;;;;;;;110
Stedum-G0041;10;;214;8.0;75;382;19;188.0;20;51.0;2.0;20.0;65.0;21.0;5.0;5.0;3.0;;;1.0;5.0;1.0;;;;;;;;;153
Steenbergen-G0851;82;;911;2509.0;360;120;326;112.0;242;78.0;19.0;198.0;11.0;90.0;25.0;200.0;76.0;8.0;23.0;19.0;68.0;2.0;9.0;;3.0;;;;;;2292
